imie,plec,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
STEFAN,M,10,11,16,11,13,11,6,9,4,4,6,1,2,3,2,,2,,2,1,,,1,,,2,,,1,1,1,,2,,1,1,1,3,1,1,,1,1,1,1,,1,,,,,,1,,,,1,3,,,2,1,4,1,3,10,1
IRENEUSZ,M,6,1,6,12,7,13,4,12,6,10,13,13,14,14,13,15,11,17,19,12,17,23,16,15,16,12,8,17,9,8,10,13,10,10,6,5,9,4,3,7,5,1,2,,,1,3,1,,2,1,,1,1,1,,2,,,,1,,1,,,,
JAKUB,M,1,1,,,,1,1,1,1,1,,2,1,,,,2,3,1,2,3,3,4,7,10,7,20,19,24,26,33,39,38,56,59,54,51,53,49,73,52,56,46,86,79,79,81,66,94,86,119,173,148,139,131,126,145,125,125,104,97,106,80,100,71,83,35
WLADYSLAW,M,16,15,18,9,14,17,8,9,7,3,7,5,4,1,3,1,,,,1,4,,1,1,,,1,,,,,,1,1,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,1,,1
HIERONIM,M,1,,,,5,1,2,,,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUDWIK,M,,1,1,3,1,1,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,2,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,2,
LEON,M,3,2,5,1,2,2,2,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,3,1,,4,4,4,5,14,13,23,24,24,19
DARIUSZ,M,1,3,7,9,10,21,19,24,42,63,85,110,107,122,147,146,128,110,128,119,128,85,103,77,65,64,60,63,55,53,45,43,37,32,37,22,27,23,22,15,13,7,8,6,10,4,7,5,4,4,3,3,5,,2,3,2,1,1,2,1,1,,,,1,1
IGNACY,M,2,1,,,,,,,,,1,1,,,,1,,,,,,,,1,,,,1,,,,,1,1,,,3,,2,1,,,,,,1,2,1,,,,3,2,3,6,3,8,7,11,8,14,13,26,25,25,32,17
HENRYK,M,89,72,59,67,49,54,42,54,41,44,30,24,16,16,10,6,11,9,7,7,5,2,2,1,5,,1,2,,1,1,,,,1,,1,,1,1,,,,,,1,1,,,,,,,,,1,,,,,,2,,1,3,2,3
ALEKSANDER,M,12,9,18,8,12,8,6,11,7,5,5,3,4,1,2,4,1,,4,5,2,1,2,1,1,5,3,6,3,6,6,5,7,3,,7,2,6,2,5,2,7,13,5,12,12,8,15,8,13,8,10,5,18,12,12,24,21,27,31,37,38,39,29,40,37,27
