IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
BIBIANNA,KOBIETA,613
ALMA,KOBIETA,612
RADOSŁAWA,KOBIETA,608
ELISABETH,KOBIETA,607
YAROSLAVA,KOBIETA,604
LINA,KOBIETA,602
NELIA,KOBIETA,599
ORIANA,KOBIETA,599
ROZWITA,KOBIETA,594
PARASKIEWIA,KOBIETA,592
RUTH,KOBIETA,591
VIKTORIYA,KOBIETA,590
WALTRAUDA,KOBIETA,590
EKATERINA,KOBIETA,581
ALBERTYNA,KOBIETA,570
VIKTORYIA,KOBIETA,564
NATHALIE,KOBIETA,562
MELISA,KOBIETA,562
MARIETA,KOBIETA,559
MELISSA,KOBIETA,559
ANICETA,KOBIETA,557
FATIMA,KOBIETA,555
GIULIA,KOBIETA,551
SNIZHANA,KOBIETA,551
WŁODZIMIERA,KOBIETA,548
IRMGARD,KOBIETA,545
VLADYSLAVA,KOBIETA,544
INGRIDA,KOBIETA,543
RYTA,KOBIETA,543
NIKOLINA,KOBIETA,541
ZOE,KOBIETA,540
JASMINA,KOBIETA,539
LISA,KOBIETA,538
ANZHELIKA,KOBIETA,537
DIONIZA,KOBIETA,533
MIŁOSŁAWA,KOBIETA,533
JASMIN,KOBIETA,532
ILZA,KOBIETA,529
CRISTINA,KOBIETA,527
IZOLDA,KOBIETA,525
SELENA,KOBIETA,517
NELLA,KOBIETA,516
ADELINA,KOBIETA,516
ELISA,KOBIETA,510
EDMUNDA,KOBIETA,509
HILDA,KOBIETA,507
DELFINA,KOBIETA,504
MAIA,KOBIETA,503
LARISA,KOBIETA,503
GUSTAWA,KOBIETA,503
WIELISŁAWA,KOBIETA,499
WALBURGA,KOBIETA,497
AGNES,KOBIETA,497
SILVIA,KOBIETA,494
DOBROMIŁA,KOBIETA,494
WERA,KOBIETA,493
SYLVIA,KOBIETA,492
MIRANDA,KOBIETA,491
CLARA,KOBIETA,490
NIKOLETA,KOBIETA,489
FILIPINA,KOBIETA,488
ZOIA,KOBIETA,485
DINA,KOBIETA,484
FRYDA,KOBIETA,484
SAMANTHA,KOBIETA,481
LUBOW,KOBIETA,479
IZYDORA,KOBIETA,478
AURELA,KOBIETA,478
MARTHA,KOBIETA,471
CATHERINE,KOBIETA,471
SATURNINA,KOBIETA,464
LILIYA,KOBIETA,462
CHARLOTTE,KOBIETA,462
JOLENTA,KOBIETA,460
KORDULA,KOBIETA,458
TAISA,KOBIETA,454
LETYCJA,KOBIETA,454
LEILA,KOBIETA,454
DANA,KOBIETA,453
ALOJZJA,KOBIETA,452
ARINA,KOBIETA,452
YEVA,KOBIETA,451
MELANIE,KOBIETA,448
VERA,KOBIETA,445
LILI,KOBIETA,445
NATASHA,KOBIETA,443
VIVIEN,KOBIETA,440
NELL,KOBIETA,440
VASYLYNA,KOBIETA,440
ZLATA,KOBIETA,438
JULIANA,KOBIETA,437
ANIDA,KOBIETA,436
LAILA,KOBIETA,435
KATHERINE,KOBIETA,431
AURORA,KOBIETA,428
YANINA,KOBIETA,428
LUDGARDA,KOBIETA,427
LUKRECJA,KOBIETA,426
KATHARINA,KOBIETA,424
HALSZKA,KOBIETA,423
EVELINA,KOBIETA,420
ALIAKSANDRA,KOBIETA,420
SUSANNA,KOBIETA,419
SOLOMIIA,KOBIETA,418
KSYMENA,KOBIETA,417
MARIAM,KOBIETA,416
ISMENA,KOBIETA,410
ARIADNA,KOBIETA,409
KAREN,KOBIETA,408
ZEFIRYNA,KOBIETA,407
ANDŻELINA,KOBIETA,407
FLORIANNA,KOBIETA,406
LUCIA,KOBIETA,404
EUZEBIA,KOBIETA,400
KONSTANTYNA,KOBIETA,400
NIKA,KOBIETA,398
KAROLA,KOBIETA,397
KAMILIA,KOBIETA,395
JACQUELINE,KOBIETA,393
SYLWINA,KOBIETA,393
ZBIGNIEWA,KOBIETA,392
JESICA,KOBIETA,392
LAURENCJA,KOBIETA,391
BETINA,KOBIETA,389
LIZA,KOBIETA,388
VERANIKA,KOBIETA,388
SOFIYA,KOBIETA,388
KLOTYLDA,KOBIETA,386
ANGELICA,KOBIETA,385
IWETTA,KOBIETA,384
FELICYTA,KOBIETA,384
JELENA,KOBIETA,383
ELINA,KOBIETA,383
YAEL,KOBIETA,382
LUDOMIŁA,KOBIETA,381
CHRISTINE,KOBIETA,380
CHIARA,KOBIETA,380
LAYLA,KOBIETA,376
NOA,KOBIETA,375
AŁŁA,KOBIETA,369
IWETA,KOBIETA,367
JASMINE,KOBIETA,367
DEBORA,KOBIETA,360
RUT,KOBIETA,357
MAIIA,KOBIETA,356
AMINA,KOBIETA,356
MARIJA,KOBIETA,354
GRACJA,KOBIETA,353
TINA,KOBIETA,353
ZYGFRYDA,KOBIETA,349
AKSANA,KOBIETA,348
LIANA,KOBIETA,346
MARGARET,KOBIETA,346
RACHELA,KOBIETA,345
TADEUSZA,KOBIETA,344
JOHANNA,KOBIETA,343
HILARIA,KOBIETA,343
CHRISTINA,KOBIETA,343
NICOLETTA,KOBIETA,342
FRIEDA,KOBIETA,342
THI,KOBIETA,334
PAOLA,KOBIETA,334
ISABELLE,KOBIETA,331
ŻANNA,KOBIETA,331
MIRONA,KOBIETA,330
VARVARA,KOBIETA,330
ANDRZELIKA,KOBIETA,330
ROKSOLANA,KOBIETA,329
LESYA,KOBIETA,329
TAMAR,KOBIETA,329
SAMIRA,KOBIETA,328
LILLI,KOBIETA,326
KESJA,KOBIETA,325
HILDEGARD,KOBIETA,324
ANNE,KOBIETA,324
NADINE,KOBIETA,324
INGRYDA,KOBIETA,324
KRYSPINA,KOBIETA,322
HIACYNTA,KOBIETA,321
AMY,KOBIETA,320
LIA,KOBIETA,319
STEPHANIE,KOBIETA,319
AIDA,KOBIETA,318
MATILDA,KOBIETA,318
MICHAL,KOBIETA,317
TAISIIA,KOBIETA,317
NADIEŻDA,KOBIETA,316
LUBOMIŁA,KOBIETA,313
EMILIE,KOBIETA,310
LEOPOLDA,KOBIETA,310
ISABEL,KOBIETA,309
WALTRAUD,KOBIETA,308
ELVIRA,KOBIETA,308
IANA,KOBIETA,307
KSENIYA,KOBIETA,306
FRANCESCA,KOBIETA,304
IRENE,KOBIETA,302
WALTRAUT,KOBIETA,302
DORIS,KOBIETA,298
NELLI,KOBIETA,297
BOGDA,KOBIETA,297
YULIA,KOBIETA,296
AMELIE,KOBIETA,296
VALERIA,KOBIETA,295
GAIA,KOBIETA,294
