IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
JEREMIASZ,MĘŻCZYZNA,2349
JACENTY,MĘŻCZYZNA,2330
KASPER,MĘŻCZYZNA,2287
NAZAR,MĘŻCZYZNA,2255
ELIGIUSZ,MĘŻCZYZNA,2250
TYTUS,MĘŻCZYZNA,2196
JONASZ,MĘŻCZYZNA,2196
ZIEMOWIT,MĘŻCZYZNA,2179
DYMITR,MĘŻCZYZNA,2176
LEONID,MĘŻCZYZNA,2156
LEO,MĘŻCZYZNA,2107
MARK,MĘŻCZYZNA,2098
EDUARD,MĘŻCZYZNA,2094
CHRISTIAN,MĘŻCZYZNA,2086
ILLIA,MĘŻCZYZNA,2086
HIPOLIT,MĘŻCZYZNA,2078
JONATAN,MĘŻCZYZNA,2067
ELIASZ,MĘŻCZYZNA,2066
NATHAN,MĘŻCZYZNA,2054
PAVEL,MĘŻCZYZNA,2000
BENJAMIN,MĘŻCZYZNA,1997
WIT,MĘŻCZYZNA,1958
XAVIER,MĘŻCZYZNA,1905
NIKOLAS,MĘŻCZYZNA,1884
ZBYSŁAW,MĘŻCZYZNA,1872
APOLINARY,MĘŻCZYZNA,1855
PAUL,MĘŻCZYZNA,1827
JACOB,MĘŻCZYZNA,1818
MAX,MĘŻCZYZNA,1810
PATRYCJUSZ,MĘŻCZYZNA,1796
IURII,MĘŻCZYZNA,1784
AUGUST,MĘŻCZYZNA,1749
HUGO,MĘŻCZYZNA,1740
ARON,MĘŻCZYZNA,1726
YURIY,MĘŻCZYZNA,1722
KSAWIER,MĘŻCZYZNA,1658
BENON,MĘŻCZYZNA,1615
MAKS,MĘŻCZYZNA,1550
HILARY,MĘŻCZYZNA,1548
EUZEBIUSZ,MĘŻCZYZNA,1543
MATTHEW,MĘŻCZYZNA,1540
PHILIP,MĘŻCZYZNA,1539
ANDREAS,MĘŻCZYZNA,1516
ZENOBIUSZ,MĘŻCZYZNA,1512
IDZI,MĘŻCZYZNA,1489
ROSTYSLAV,MĘŻCZYZNA,1478
CHRISTOPHER,MĘŻCZYZNA,1461
CYRYL,MĘŻCZYZNA,1410
JOHN,MĘŻCZYZNA,1401
KURT,MĘŻCZYZNA,1381
ANTHONY,MĘŻCZYZNA,1363
MARCO,MĘŻCZYZNA,1352
ZBYSZEK,MĘŻCZYZNA,1340
JAROMIR,MĘŻCZYZNA,1337
MYKHAYLO,MĘŻCZYZNA,1335
HERMAN,MĘŻCZYZNA,1327
YURY,MĘŻCZYZNA,1327
VITALI,MĘŻCZYZNA,1324
KASJAN,MĘŻCZYZNA,1299
ULADZIMIR,MĘŻCZYZNA,1298
ALIAKSEI,MĘŻCZYZNA,1290
RAFAEL,MĘŻCZYZNA,1284
DANYLO,MĘŻCZYZNA,1276
SIMON,MĘŻCZYZNA,1274
REINHOLD,MĘŻCZYZNA,1259
MOHAMED,MĘŻCZYZNA,1224
MYKYTA,MĘŻCZYZNA,1223
DONAT,MĘŻCZYZNA,1221
BRIAN,MĘŻCZYZNA,1219
KLAUS,MĘŻCZYZNA,1217
HENNADII,MĘŻCZYZNA,1199
MAKSIM,MĘŻCZYZNA,1186
RADOMIR,MĘŻCZYZNA,1184
ALI,MĘŻCZYZNA,1181
ENGELBERT,MĘŻCZYZNA,1170
NAZARII,MĘŻCZYZNA,1163
KYRYLO,MĘŻCZYZNA,1160
VITALIY,MĘŻCZYZNA,1154
NICHOLAS,MĘŻCZYZNA,1151
BAZYL,MĘŻCZYZNA,1148
JONATHAN,MĘŻCZYZNA,1147
NARCYZ,MĘŻCZYZNA,1145
LUBOMIR,MĘŻCZYZNA,1144
VINCENT,MĘŻCZYZNA,1142
WOLFGANG,MĘŻCZYZNA,1135
