key_uid,key_descriptor,key_vocabulary,relationship_type,related_uid,related_descriptor,related_vocabulary
18586563,Adam Road Hospital,_Organisations,Successor,18586562,Adam Road Medical Centre,_Organisations
18586563,Adam Road Hospital,_Organisations,Predecessor,18586564,Singapore Nursing Home,_Organisations
18586562,Adam Road Medical Centre,_Organisations,Predecessor,18586563,Adam Road Hospital,_Organisations
18588711,The Adelphi,_GeoBuildings,UF,18588710,Adelphi Complex,_GeoBuildings
18588711,The Adelphi,_GeoBuildings,RT,18588709,Adelphi Hotel,_GeoBuildings
18588709,Adelphi Hotel,_GeoBuildings,UF,18610368,Nandu Hotel,_GeoBuildings
18588709,Adelphi Hotel,_GeoBuildings,RT,18588711,The Adelphi,_GeoBuildings
18607294,"Adipurnomo, Nindityo",_People,UF,18607295,Nindityo Adipurnomo,_People
18588054,"Adis, Nissim Nassim",_People,UF,18588055,Nissim Nassim Adis,_People
18346221,Adis Road,_Geographics,BT,18345039,Mount Emily,_Geographics
18343459,Admiralty,_Geographics,UF,18598289,Admiralty Sub Zone,_Geographics
18343459,Admiralty,_Geographics,UF,18343461,Admiralty Subzone,_Geographics
18343459,Admiralty,_Geographics,NT,18345111,Admiralty Road East,_Geographics
18343459,Admiralty,_Geographics,NT,18345112,Admiralty Road West,_Geographics
18343459,Admiralty,_Geographics,NT,18348041,Bermuda Road,_Geographics
18343459,Admiralty,_Geographics,NT,18345114,Canberra Link,_Geographics
18343459,Admiralty,_Geographics,NT,18345119,Lagos Circle,_Geographics
18343459,Admiralty,_Geographics,NT,18345121,Old Nelson Road,_Geographics
18343459,Admiralty,_Geographics,NT,18345122,Ottawa Road,_Geographics
18343459,Admiralty,_Geographics,NT,18345124,Queen's Avenue,_Geographics
18343459,Admiralty,_Geographics,NT,18345125,Saint John's Road,_Geographics
18343459,Admiralty,_Geographics,BT,18343099,Sembawang,_Geographics
18345130,Admiralty Drive,_Geographics,BT,18343453,Sembawang Central,_Geographics
18345130,Admiralty Drive,_Geographics,BT,18343456,Sembawang North,_Geographics
18345138,Admiralty Lane,_Geographics,BT,18343456,Sembawang North,_Geographics
18345139,Admiralty Link,_Geographics,BT,18343456,Sembawang North,_Geographics
18604651,Admiralty Medical Centre,_Organisations,BT,18338823,National Healthcare Group (Singapore),_Organisations
18520609,Admiralty Park,_Geographics,na,na,na,na
18488061,Admiralty Primary School,_Organisations,na,na,na,na
18345260,Admiralty Road,_Geographics,BT,18343116,Greenwood Park,_Geographics
18345260,Admiralty Road,_Geographics,BT,18343510,North Coast,_Geographics
18345260,Admiralty Road,_Geographics,BT,18343503,Woodlands West,_Geographics
18345111,Admiralty Road East,_Geographics,BT,18343459,Admiralty,_Geographics
18345111,Admiralty Road East,_Geographics,BT,18343462,Sembawang Straits,_Geographics
18345112,Admiralty Road West,_Geographics,BT,18343459,Admiralty,_Geographics
18345112,Admiralty Road West,_Geographics,BT,18343116,Greenwood Park,_Geographics
18345112,Admiralty Road West,_Geographics,BT,18343510,North Coast,_Geographics
18345112,Admiralty Road West,_Geographics,BT,18343456,Sembawang North,_Geographics
18345112,Admiralty Road West,_Geographics,BT,18343468,Senoko North,_Geographics
18345112,Admiralty Road West,_Geographics,BT,18343471,Senoko South,_Geographics
18345112,Admiralty Road West,_Geographics,BT,18343114,Senoko West,_Geographics
18345112,Admiralty Road West,_Geographics,BT,18343465,The Wharves (Subzone),_Geographics
18345112,Admiralty Road West,_Geographics,RT,18342058,Former Sembawang Fire Station,_GeoBuildings
18488241,Admiralty Secondary School,_Organisations,na,na,na,na
18345140,Admiralty Street,_Geographics,BT,18343456,Sembawang North,_Geographics
18342787,Admiralty West Prison (Place),_GeoBuildings,na,na,na,na
18338588,Adnan Saidi,_People,UF,18556598,Lieutenant Adnan Saidi,_People
18545036,"Advertising Media Owners Association, Singapore",_Organisations,na,na,na,na
18608938,"Aeria, James",_People,UF,18608939,James Aeria,_People
18593582,Affandi (Artist),_People,UF,18593591,Affandi Koesoema,_People
18593582,Affandi (Artist),_People,UF,18600667,"Affandi, Raden, 1907-1990",_People
18584617,Agency for Care Effectiveness,_Organisations,UF,18584618,ACE,_Organisations
18584617,Agency for Care Effectiveness,_Organisations,BT,18338822,Singapore. Ministry of Health,_Organisations
18338826,Agency for Integrated Care,_Organisations,UF,18604376,AIC,_Organisations
18338826,Agency for Integrated Care,_Organisations,Predecessor,18338825,Integrated Care Services,_Organisations
18588859,Agni Koothu,_Organisations,UF,18588860,Agni Kootthu,_Organisations
18588859,Agni Koothu,_Organisations,UF,18588861,Theatre of Fire,_Organisations
18487954,Agri-Food & Veterinary Authority of Singapore,_Organisations,UF,18548906,Agri-Food and Veterinary Authority,_Organisations
18487954,Agri-Food & Veterinary Authority of Singapore,_Organisations,UF,18526206,AVA,_Organisations
18487954,Agri-Food & Veterinary Authority of Singapore,_Organisations,RT,18604072,Animal & Veterinary Service,_Organisations
18487954,Agri-Food & Veterinary Authority of Singapore,_Organisations,RT,18487957,National Parks Board (Singapore),_Organisations
18487954,Agri-Food & Veterinary Authority of Singapore,_Organisations,RT,18604070,Singapore Food Agency,_Organisations
18487954,Agri-Food & Veterinary Authority of Singapore,_Organisations,Predecessor,18526207,Singapore. Primary Production Department,_Organisations
18543586,"Aguinaldo, Leonardo",_People,UF,18600777,Leonardo Aguinaldo,_People
18594302,Agus Kamal,_People,na,na,na,na
18345728,Ah Hood Road,_Geographics,BT,18343191,Balestier,_Geographics
18344351,Ah Soo Garden,_Geographics,BT,18343584,Tai Seng,_Geographics
18344352,Ah Soo Walk,_Geographics,BT,18343584,Tai Seng,_Geographics
18490477,Ahli Fiqir (Musical group),_Organisations,na,na,na,na
18594321,Ahmad Abu Bakar,_People,UF,18594322,"Ahmad Abu Bakar, 1963-",_People
18560840,Ahmad Afandi Jamari,_People,na,na,na,na
18560841,Ahmad Awang,_People,na,na,na,na
18589576,Ahmad Azmi bin Haji Mohamed,_People,na,na,na,na
18486517,Ahmad Daud,_People,UF,18589572,Abang Mat,_People
18486517,Ahmad Daud,_People,UF,18569471,Ahmad Daud bin Md Hashim (Dato),_People
18486517,Ahmad Daud,_People,UF,18569473,Ahmad Daud Md. Hashim,_People
18486517,Ahmad Daud,_People,UF,18569472,Dato Ahmad Daud Md. Hashim,_People
18593934,Ahmad Fuad Osman,_People,UF,18601016,"Ahmad Fuad Osman, 1969-",_People
18592390,Ahmad Gaus,_People,UF,18592393,Ahmad Gaus A.F.,_People
18592390,Ahmad Gaus,_People,UF,18592392,"Ahmad Gaus A. F., 1968-",_People
18540422,Ahmad Ibrahim,_People,UF,18557283,Ahmad bin Ibrahim,_People
18533553,Ahmad Ibrahim Mosque (Place),_GeoBuildings,na,na,na,na
18488062,Ahmad Ibrahim Primary School,_Organisations,na,na,na,na
18488242,Ahmad Ibrahim Secondary School,_Organisations,na,na,na,na
18338324,Ahmad Jaafar,_People,UF,18487384,Ahmad Ja'afar,_People
18659646,Ahmad Jaaffar Munasip,_People,UF,18659647,A. Jaaffar Munasip,_People
18659646,Ahmad Jaaffar Munasip,_People,UF,18659649,Ahmad Ja'affar Munasip,_People
18659646,Ahmad Jaaffar Munasip,_People,UF,18659648,Ahmad Jaaffar bin Munasip,_People
18486615,Ahmad Jais,_People,UF,18487354,Mohd Jais Ahmad,_People
18604484,"Ahmad Jamal, Syed",_People,UF,18604487,"Ahmad Jamal, Syed, 1929-2011",_People
18604484,"Ahmad Jamal, Syed",_People,UF,18604486,Syed Ahmad Jamal,_People
18533821,Ahmad Khalis bin Abdul Ghani,_People,na,na,na,na
18533822,Ahmad Mattar,_People,UF,18577184,Ahmad bin Mohamed Mattar,_People
18533822,Ahmad Mattar,_People,UF,18593401,"Ahmad Mattar, Hj., 1940-",_People
18555544,Ahmad Mohamed Ibrahim,_People,UF,18577983,Ahmad bin Mohamed Ibrahim,_People
18555544,Ahmad Mohamed Ibrahim,_People,UF,18555545,Ahmad bin Mohd. Ibrahim (Dato Professor),_People
18555544,Ahmad Mohamed Ibrahim,_People,UF,18577984,"Ahmad Ibrahim, 1916-1999",_People
18555544,Ahmad Mohamed Ibrahim,_People,UF,18557266,Tan Sri Datuk Professor Ahmad Ibrahim,_People
18555544,Ahmad Mohamed Ibrahim,_People,UF,18583743,Tan Sri Professor Ahmad bin Mohamed Ibrahim,_People
18533820,Ahmad Mohd Magad,_People,UF,18600786,Ahmad bin Mohd Magad,_People
18533820,Ahmad Mohd Magad,_People,UF,18600785,Ahmad M. Magad,_People
18533820,Ahmad Mohd Magad,_People,UF,18600784,Ahmad Magad,_People
18539614,Ahmad Mosque,_Organisations,na,na,na,na
18533552,Ahmad Mosque (Place),_GeoBuildings,na,na,na,na
18659813,Ahmad Nisfu,_People,UF,18659814,Mohamed bin Nisfu,_People
18592573,Ahmad Patek,_People,UF,18592574,Muhammad bin Ahmad,_People
18532893,"Ahmad Shahabudin, Syed",_People,UF,18550886,Syed Ahmad Shahabudin,_People
18532893,"Ahmad Shahabudin, Syed",_People,UF,18550885,Syed Ahmad Syed Mahmud Shahabudin,_People
18594305,Ahmad Shukri Mohamed,_People,na,na,na,na
18564801,Ahmad Sonhadji Mohamad,_People,UF,18576478,Ahmad Sonhadji bin Mohamad Milatu,_People
18564801,Ahmad Sonhadji Mohamad,_People,UF,18580889,"Ahmad Sonhadji Mohamad, 1922-2010",_People
18564801,Ahmad Sonhadji Mohamad,_People,UF,18576500,Ustaz Ahmad Sonhadji Mohamad Milatu,_People
18594306,Ahmad Zakii Anwar,_People,UF,18600669,"Ahmad Zakii Anwar, 1955-",_People
18346556,Ahmadiyya Cemetery Path 1,_Geographics,BT,18343129,Western Water Catchment,_Geographics
18338843,Ahmadiyya Muslim Mission Singapore,_Organisations,UF,18584366,Ahmadiyya Muslim Community Singapore,_Organisations
18488063,Ai Tong School,_Organisations,RT,18338732,Singapore Hokkien Huay Kuan (Clan association),_Organisations
18658373,Ai Yu,_People,UF,18658374,Liew Kwee Lan,_People
18560280,AIA Singapore,_Organisations,na,na,na,na
18347820,Aida Street,_Geographics,BT,18343636,Frankel,_Geographics
18606295,Aidha,_Organisations,na,na,na,na
18560844,Aidli Mosbit,_People,UF,18583924,Aidli 'Alin' Mosbit,_People
18560844,Aidli Mosbit,_People,UF,18560845,"Aidli Mosbit, 1973-",_People
18560844,Aidli Mosbit,_People,UF,18583925,Alin,_People
18660008,Aiman (Artist),_People,UF,18660009,"Aiman, 1984-",_People
18660008,Aiman (Artist),_People,UF,18660010,Aiman Hakim,_People
18658227,Ain Society,_Organisations,na,na,na,na
18586178,Aini Salim,_People,na,na,na,na
18338795,Air Accident Investigation Bureau of Singapore,_Organisations,UF,18526363,AAIB,_Organisations
18338795,Air Accident Investigation Bureau of Singapore,_Organisations,Successor,18577993,Transport Safety Investigation Bureau,_Organisations
18347547,Airline Road,_Geographics,BT,18343652,Changi Airport (Subzone),_Geographics
18347548,Airport Boulevard,_Geographics,BT,18343652,Changi Airport (Subzone),_Geographics
18347549,Airport Cargo Road,_Geographics,BT,18343652,Changi Airport (Subzone),_Geographics
18546240,Airport Logistics Park of Singapore,_Geographics,na,na,na,na
18344353,Airport Road,_Geographics,BT,18343699,Airport Road (Subzone),_Geographics
18344353,Airport Road,_Geographics,BT,18343587,Defu Industrial Park,_Geographics
18344353,Airport Road,_Geographics,BT,18343427,Kaki Bukit,_Geographics
18344353,Airport Road,_Geographics,BT,18343584,Tai Seng,_Geographics
18343699,Airport Road (Subzone),_Geographics,UF,18343700,Airport Road Sub Zone,_Geographics
18343699,Airport Road (Subzone),_Geographics,NT,18344353,Airport Road,_Geographics
18343699,Airport Road (Subzone),_Geographics,BT,18343142,Paya Lebar,_Geographics
18576406,Aisha Akbar,_People,UF,18576407,"Akbar, Aisha",_People
18589577,Aisyah Lyana,_People,UF,18589578,Nur Aisyah Lyana,_People
18589577,Aisyah Lyana,_People,RT,18598533,Noor Hasnah Adam,_People
18589776,"Aitken, Donaldson & Burkinshaw",_Organisations,Successor,18589775,Donaldson & Burkinshaw,_Organisations
18592447,AK Theatre Ltd,_Organisations,na,na,na,na
18609047,"Akbar, Muhammad",_People,UF,18609049,Killafternoon,_People
18609047,"Akbar, Muhammad",_People,UF,18609048,Muhammad Akbar,_People
18538916,Akitek Tenggara,_Organisations,na,na,na,na
18345729,Akyab Road,_Geographics,BT,18343191,Balestier,_Geographics
18533569,Al-Abdul Razak Mosque (Place),_GeoBuildings,na,na,na,na
18341922,Al-Abrar Mosque (Place),_GeoBuildings,UF,18577148,Chulia Mosque (Place),_GeoBuildings
18341922,Al-Abrar Mosque (Place),_GeoBuildings,UF,18532150,Kuchu Palli,_GeoBuildings
18341922,Al-Abrar Mosque (Place),_GeoBuildings,UF,18532151,Masjid Al-Abrar (Koochoo Pally),_GeoBuildings
18532711,Al-Amin Mosque (Place),_GeoBuildings,na,na,na,na
18538917,Al-Ansar Mosque,_Organisations,na,na,na,na
18533570,Al-Ansar Mosque (Place),_GeoBuildings,na,na,na,na
18533572,Al-Falah Mosque (Place),_GeoBuildings,na,na,na,na
18533573,Al-Firdaus Mosque (Place),_GeoBuildings,na,na,na,na
